,Call_Buy-Sell,Cmp_Name,Target_Price,Analyst_or_Cmp,Call_Time,Call_Time_normal,Call_Time_secs,Stop_Loss,From_Site
145,Buy,Hindalco Industries,275,ICICI Direct,"November 13, 2018 04:47 PM",2018-11-13 04:47:00,"November 13, 2018 04:47 PM",#N/A,MoneyControl
146,Buy,Arvind,450,ICICI Direct,"November 13, 2018 04:45 PM",2018-11-13 04:45:00,"November 13, 2018 04:45 PM",#N/A,MoneyControl
147,Buy,Sonata Software,400,ICICI Direct,"November 13, 2018 04:40 PM",2018-11-13 04:40:00,"November 13, 2018 04:40 PM",#N/A,MoneyControl
148,Buy,Endurance Technologies,1450,Motilal Oswal,"November 13, 2018 04:34 PM",2018-11-13 04:34:00,"November 13, 2018 04:34 PM",#N/A,MoneyControl
149,Buy,TCI Express,780,ICICI Direct,"November 13, 2018 04:33 PM",2018-11-13 04:33:00,"November 13, 2018 04:33 PM",#N/A,MoneyControl
150,Buy,Power Grid Corporation,215,ICICI Direct,"November 13, 2018 04:32 PM",2018-11-13 04:32:00,"November 13, 2018 04:32 PM",#N/A,MoneyControl
151,Buy,Ratnamani Metals,1075,ICICI Direct,"November 13, 2018 04:21 PM",2018-11-13 04:21:00,"November 13, 2018 04:21 PM",#N/A,MoneyControl
152,Buy,Titan Company,1000,ICICI Direct,"November 13, 2018 04:21 PM",2018-11-13 04:21:00,"November 13, 2018 04:21 PM",#N/A,MoneyControl
153,Buy,NRB Bearings,215,ICICI Direct,"November 13, 2018 03:59 PM",2018-11-13 03:59:00,"November 13, 2018 03:59 PM",#N/A,MoneyControl
154,Buy,Cadila Healthcare,415,ICICI Direct,"November 13, 2018 03:55 PM",2018-11-13 03:55:00,"November 13, 2018 03:55 PM",#N/A,MoneyControl
155,Buy,TV Today Network,450,ICICI Direct,"November 13, 2018 03:35 PM",2018-11-13 03:35:00,"November 13, 2018 03:35 PM",#N/A,MoneyControl
156,Buy,Indraprastha Gas,371,Motilal Oswal,"November 12, 2018 05:37 PM",2018-11-12 05:37:00,"November 12, 2018 05:37 PM",#N/A,MoneyControl
157,Buy,Titan Company,1026,Dolat Capital,"November 12, 2018 05:35 PM",2018-11-12 05:35:00,"November 12, 2018 05:35 PM",#N/A,MoneyControl
158,Buy,Voltas,668,Dolat Capital,"November 12, 2018 05:35 PM",2018-11-12 05:35:00,"November 12, 2018 05:35 PM",#N/A,MoneyControl
159,Buy,Indraprastha Gas,349,Dolat Capital,"November 12, 2018 05:34 PM",2018-11-12 05:34:00,"November 12, 2018 05:34 PM",#N/A,MoneyControl
160,Buy,Khadim India,846,Dolat Capital,"November 12, 2018 05:33 PM",2018-11-12 05:33:00,"November 12, 2018 05:33 PM",#N/A,MoneyControl
161,Buy,PSP Projects,590,Dolat Capital,"November 12, 2018 05:32 PM",2018-11-12 05:32:00,"November 12, 2018 05:32 PM",#N/A,MoneyControl
